LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder
NY,New York,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.644,$,Dollars,"(42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MN,Minnesota,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.47,$,Dollars,"(46.355648736, -94.794200503)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CO,Colorado,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.951,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OR,Oregon,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.456,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IN,Indiana,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.406,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
HI,Hawaii,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.269,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
PA,Pennsylvania,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.698,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SC,South Carolina,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.547,$,Dollars,"(33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MO,Missouri,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.146,$,Dollars,"(38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WA,Washington,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.316,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
HI,Hawaii,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.491,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MS,Mississippi,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.608,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OR,Oregon,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.305,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
LA,Louisiana,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.204,$,Dollars,"(31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IN,Indiana,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.9,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IL,Illinois,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.987,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MS,Mississippi,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.597,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IL,Illinois,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.604,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
KY,Kentucky,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.301,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NM,New Mexico,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.576,$,Dollars,"(34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NC,North Carolina,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.423,$,Dollars,"(35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
GA,Georgia,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.323,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
HI,Hawaii,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.454,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MD,Maryland,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.362,$,Dollars,"(39.290580964, -76.609260111)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ID,Idaho,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.976,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WV,West Virginia,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.041,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OR,Oregon,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.82,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NV,Nevada,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.812,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
VA,Virginia,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.732,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AR,Arkansas,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.799,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
KY,Kentucky,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.584,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NC,North Carolina,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.555,$,Dollars,"(35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
GA,Georgia,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.919,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ID,Idaho,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.592,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MO,Missouri,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.748,$,Dollars,"(38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ID,Idaho,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.871,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OK,Oklahoma,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.046,$,Dollars,"(35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.084,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
UT,Utah,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.227,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ME,Maine,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.59,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
DC,District of Columbia,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.304,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
HI,Hawaii,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.367,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AL,Alabama,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.144,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
KS,Kansas,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.14,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
LA,Louisiana,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.907,$,Dollars,"(31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SC,South Carolina,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.391,$,Dollars,"(33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CA,California,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.4,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WI,Wisconsin,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.765,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AL,Alabama,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.722,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CA,California,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.868,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SD,South Dakota,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.137,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AR,Arkansas,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.465,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MI,Michigan,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.54,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
TN,Tennessee,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.53,$,Dollars,"(35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
FL,Florida,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.79,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.429,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MI,Michigan,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.877,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
IA,Iowa,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.564,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AR,Arkansas,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.681,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
DC,District of Columbia,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.714,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WA,Washington,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.728,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AZ,Arizona,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.459,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
VT,Vermont,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.61,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
VA,Virginia,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.945,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NC,North Carolina,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.301,$,Dollars,"(35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CA,California,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.95,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MD,Maryland,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.009,$,Dollars,"(39.290580964, -76.609260111)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AR,Arkansas,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.508,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SC,South Carolina,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.167,$,Dollars,"(33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ND,North Dakota,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.429,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MI,Michigan,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.402,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
RI,Rhode Island,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.712,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WV,West Virginia,2008,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.704,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MN,Minnesota,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.274,$,Dollars,"(46.355648736, -94.794200503)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NM,New Mexico,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.417,$,Dollars,"(34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
RI,Rhode Island,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,9.873,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NM,New Mexico,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.641,$,Dollars,"(34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AZ,Arizona,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.586,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CO,Colorado,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.311,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NV,Nevada,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.23,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
FL,Florida,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.663,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
DC,District of Columbia,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.121,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
UT,Utah,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.862,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
HI,Hawaii,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.605,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NH,New Hampshire,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.67,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NH,New Hampshire,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.878,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CA,California,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.419,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.673,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WI,Wisconsin,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.951,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MA,Massachusetts,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.909,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ND,North Dakota,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.552,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
VA,Virginia,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.218,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WA,Washington,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.258,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OK,Oklahoma,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.337,$,Dollars,"(35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
TN,Tennessee,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.791,$,Dollars,"(35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WI,Wisconsin,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.421,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AR,Arkansas,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.673,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
KY,Kentucky,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.586,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
WI,Wisconsin,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.75,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.588,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AL,Alabama,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.956,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
TX,Texas,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.659,$,Dollars,"(31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NV,Nevada,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.968,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
CA,California,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.039,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
KS,Kansas,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.427,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AL,Alabama,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.423,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NE,Nebraska,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.234,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MT,Montana,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.754,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
FL,Florida,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.549,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
AK,Alaska,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.515,$,Dollars,"(64.845079957001, -147.722059036)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
KY,Kentucky,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.793,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
HI,Hawaii,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.571,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OH,Ohio,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.631,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
TX,Texas,1985,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.055,$,Dollars,"(31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
