,LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder,Latitude,Longitude,Id
1493,NJ,New Jersey,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.061,$,Dollars,"(40.130570048, -74.273691288)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.130570048, -74.273691288,1494
1494,UT,Utah,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.671,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,1495
1495,AR,Arkansas,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.793,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.748650124, -92.274490743,1496
1496,VA,Virginia,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.946,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.542680674, -78.457890463,1497
1497,UT,Utah,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.365,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,1498
1498,MI,Michigan,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.222,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.661319543001, -84.71439027,1499
1499,VT,Vermont,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.672000000000001,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.625381239, -72.517640791,1500
1500,HI,Hawaii,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.311,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,21.304850435, -157.857749403,1501
1501,OH,Ohio,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.592,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056,1502
1502,OR,Oregon,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.919,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.567449424, -120.155031326,1503
1503,PA,Pennsylvania,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.581,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294,1504
1504,VA,Virginia,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.282,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.542680674, -78.457890463,1505
1505,IN,Indiana,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.6509999999999999,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.766910452, -86.149960194,1506
1506,UT,Utah,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.627,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,1507
1507,WI,Wisconsin,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.521,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.393191174, -89.816370742,1508
1508,TN,Tennessee,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.5590000000000002,$,Dollars,"(35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.68094058, -85.774490914,1509
1509,MO,Missouri,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.937,$,Dollars,"(38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.635790776, -92.566300053,1510
1510,ME,Maine,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.532,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,45.254228894001, -68.985031336,1511
1511,MT,Montana,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.519,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.066528972, -109.424420645,1512
1512,OR,Oregon,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.975,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.567449424, -120.155031326,1513
1513,AK,Alaska,2008,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.69,$,Dollars,"(64.845079957001, -147.722059036)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,64.845079957001, -147.722059036,1514
1514,NY,New York,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.611,$,Dollars,"(42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.827001032, -75.543970427,1515
1515,SC,South Carolina,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.252,$,Dollars,"(33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,33.998821303, -81.045371207,1516
1516,KS,Kansas,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.975,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.3477403, -98.200781227,1517
1517,RI,Rhode Island,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.23,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.708280193, -71.522470314,1518
1518,MN,Minnesota,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.168,$,Dollars,"(46.355648736, -94.794200503)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,46.355648736, -94.794200503,1519
1519,UT,Utah,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.953,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,1520
1520,WI,Wisconsin,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.5710000000000001,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.393191174, -89.816370742,1521
1521,WY,Wyoming,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.018,$,Dollars,"(43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.235541343, -108.109830353,1522
1522,WV,West Virginia,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.9,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.665510202, -80.712640135,1523
1523,SC,South Carolina,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.42200000000000004,$,Dollars,"(33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,33.998821303, -81.045371207,1524
1524,AL,Alabama,2008,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.752,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.840571122, -86.631860762,1525
1525,PA,Pennsylvania,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.9189999999999996,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294,1526
1526,MD,Maryland,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.556,$,Dollars,"(39.290580964, -76.609260111)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.290580964, -76.609260111,1527
1527,TX,Texas,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.946000000000001,$,Dollars,"(31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,31.827240407, -99.426770206,1528
1528,OH,Ohio,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.6680000000000001,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056,1529
1529,HI,Hawaii,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.286,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,21.304850435, -157.857749403,1530
1530,KS,Kansas,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.8430000000000002,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.3477403, -98.200781227,1531
1531,GA,Georgia,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.479,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.839681093, -83.627580346,1532
1532,DC,District of Columbia,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.13,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.890371385, -77.031961127,1533
1533,NC,North Carolina,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.359,$,Dollars,"(35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.466220975, -79.159250463,1534
1534,KY,Kentucky,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.33299999999999996,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.645970271, -84.774971048,1535
1535,NV,Nevada,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.8190000000000001,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564,1536
1536,WV,West Virginia,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.9419999999999997,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.665510202, -80.712640135,1537
1537,AL,Alabama,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.56,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.840571122, -86.631860762,1538
1538,NV,Nevada,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.998,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564,1539
1539,OR,Oregon,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.288,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.567449424, -120.155031326,1540
1540,UT,Utah,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.672,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,1541
1541,MA,Massachusetts,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.014,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675,1542
1542,NE,Nebraska,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.979,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,1543
1543,NM,New Mexico,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.167999999999999,$,Dollars,"(34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.520880952, -106.240580985,1544
1544,MA,Massachusetts,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.001,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675,1545
1545,WA,Washington,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.616,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.522278629, -120.47001079,1546
1546,CA,California,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.979,$,Dollars,"(37.638640123, -120.999999538)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.638640123, -120.999999538,1547
1547,IA,Iowa,1987,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.242,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556,1548
1548,MA,Massachusetts,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.645,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675,1549
1549,NH,New Hampshire,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.439,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.655950113, -71.50036092,1550
1550,AL,Alabama,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.1,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.840571122, -86.631860762,1551
1551,MI,Michigan,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.21,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.661319543001, -84.71439027,1552
1552,WY,Wyoming,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.8170000000000001,$,Dollars,"(43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.235541343, -108.109830353,1553
1553,IN,Indiana,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.451,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.766910452, -86.149960194,1554
1554,NJ,New Jersey,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.946,$,Dollars,"(40.130570048, -74.273691288)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.130570048, -74.273691288,1555
1555,ND,North Dakota,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.052,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049,1556
1556,IA,Iowa,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.13,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556,1557
1557,NE,Nebraska,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.7910000000000004,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,1558
1558,OR,Oregon,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.9080000000000001,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.567449424, -120.155031326,1559
1559,DC,District of Columbia,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.936,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.890371385, -77.031961127,1560
1560,NE,Nebraska,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.648,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,1561
1561,TX,Texas,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.112,$,Dollars,"(31.827240407, -99.426770206)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,31.827240407, -99.426770206,1562
1562,NV,Nevada,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.9040000000000001,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564,1563
1563,NE,Nebraska,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.34700000000000003,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,1564
1564,GA,Georgia,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.362,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.839681093, -83.627580346,1565
1565,WA,Washington,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.53,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.522278629, -120.47001079,1566
1566,NE,Nebraska,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.146,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,1567
1567,AZ,Arizona,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.458,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.86597028, -111.763811277,1568
1568,OK,Oklahoma,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.7260000000000004,$,Dollars,"(35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.472031356, -97.521070214,1569
1569,WI,Wisconsin,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.24,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.393191174, -89.816370742,1570
1570,KS,Kansas,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.914,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.3477403, -98.200781227,1571
1571,CO,Colorado,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.546,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.843840757, -106.133610921,1572
1572,AR,Arkansas,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.957999999999999,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.748650124, -92.274490743,1573
1573,OK,Oklahoma,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.5329999999999995,$,Dollars,"(35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.472031356, -97.521070214,1574
1574,ND,North Dakota,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.596,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049,1575
1575,NH,New Hampshire,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.97,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.655950113, -71.50036092,1576
1576,OH,Ohio,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.539,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056,1577
1577,NV,Nevada,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.5710000000000001,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564,1578
1578,IA,Iowa,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.362,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556,1579
1579,AZ,Arizona,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.35,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.86597028, -111.763811277,1580
1580,VA,Virginia,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.221,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.542680674, -78.457890463,1581
1581,HI,Hawaii,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.702,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,21.304850435, -157.857749403,1582
1582,FL,Florida,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.863,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,28.932040377, -81.928960539,1583
1583,NY,New York,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.062,$,Dollars,"(42.827001032, -75.543970427)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.827001032, -75.543970427,1584
1584,NM,New Mexico,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.06,$,Dollars,"(34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.520880952, -106.240580985,1585
1585,CO,Colorado,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.858,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.843840757, -106.133610921,1586
1586,NV,Nevada,2001,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.221,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564,1587
1587,DE,Delaware,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.525,$,Dollars,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.008830667, -75.577741168,1588
1588,UT,Utah,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.7009999999999998,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,1589
1589,NE,Nebraska,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.137,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,1590
