,LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder,Latitude,Longitude,Id
68,PA,Pennsylvania,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.909,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294,69
69,KS,Kansas,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.365,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.3477403, -98.200781227,70
70,TN,Tennessee,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.815,$,Dollars,"(35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.68094058, -85.774490914,71
71,NE,Nebraska,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.497999999999999,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623,72
72,DC,District of Columbia,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.8110000000000004,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.890371385, -77.031961127,73
73,SD,South Dakota,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.5060000000000002,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637,74
74,AL,Alabama,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.688,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.840571122, -86.631860762,75
75,IL,Illinois,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.396,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.485010283, -88.997710178,76
76,ND,North Dakota,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.975,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049,77
77,WA,Washington,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.7260000000000004,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.522278629, -120.47001079,78
